eps,min_samples,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
1,3,431,6037,0.614074143968113,0.5945331822031101,99.14723999596427
1,5,196,6844,0.6146516113728904,0.6238466730495508,155.01845587923842
1,8,118,7320,0.6265923343287036,0.6054800314118045,216.64627299185346
1,10,88,7579,0.6308852133177641,0.594861181566823,256.9479361053117
2,3,12,697,-0.029011215644744758,1.4556949593811843,6.030316379588792
2,5,4,895,0.02958102840499432,1.418378294966491,5.316346170791762
2,8,1,1105,,,
2,10,1,1197,,,
3,3,1,0,,,
3,5,1,0,,,
3,8,1,0,,,
3,10,1,0,,,
4,3,1,0,,,
4,5,1,0,,,
4,8,1,0,,,
4,10,1,0,,,
5,3,1,0,,,
5,5,1,0,,,
5,8,1,0,,,
5,10,1,0,,,
6,3,1,0,,,
6,5,1,0,,,
6,8,1,0,,,
6,10,1,0,,,
7,3,1,0,,,
7,5,1,0,,,
7,8,1,0,,,
7,10,1,0,,,
8,3,1,0,,,
8,5,1,0,,,
8,8,1,0,,,
8,10,1,0,,,
