k,inertia,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
2,43907.77737841281,2,0,0.15758538469520567,2.2763866025003168,1480.2178311258197
3,39892.85567464333,3,0,0.11386249107315202,2.4656121406353453,1317.576103387479
4,37701.60176318795,4,0,0.10857171877727073,2.356996409118804,1123.0027310510163
5,36672.015653417,5,0,0.08895836889078787,2.613070906316511,935.965811892211
6,35657.62018182442,6,0,0.08825567743862714,2.7477795937776848,826.8591276766708
7,34832.23561759323,7,0,0.08013378571371356,2.7588306796694195,744.7720864432699
8,33954.07846992828,8,0,0.08272778829862538,2.64896048949826,691.7386164631105
9,33300.747545932434,9,0,0.0846791172096401,2.744933686675892,641.5862195279254
10,32621.611907642477,10,0,0.08064670726406983,2.6840401201202346,605.2220285255563
